1,varunn,Singhh,Singhh,Qwerty!1,varun@gmail.com,1234567890,100,1,superior,Passenger,,,,,,,,,,
2,varun,Singh,Varun,Qwerty!1,varun@gmail.com,1234567890,100,1,superior,Passenger,Username already in database,,,,,,,,firstname lastname combination already in database,Please correct the following errors
3,varu,Singh,Varun,Qwerty!1,varun@gmail.com,1234567890,100,1,superior,Passenger,username must be 5 to 20 characters long,,,,,,,,firstname lastname combination already in database,Please correct the following errors
4,varunvarunvarunvarun,Singh,Varun,Qwerty!1,varun@gmail.com,1234567890,100,1,superior,Passenger,,,,,,,,,firstname lastname combination already in database,Please correct the following errors
5,varunvarunvarunvarunv,Singh,Varun,Qwerty!1,varun@gmail.com,1234567890,100,1,superior,Passenger,username must be 5 to 20 characters long,,,,,,,,firstname lastname combination already in database,Please correct the following errors
6,varu!,Singh,Varun,Qwerty!1,varun@gmail.com,1234567890,100,1,superior,Passenger,must not contain special characters,,,,,,,,firstname lastname combination already in database,Please correct the following errors
7,varu@,Singh,Varun,Qwerty!1,varun@gmail.com,1234567890,100,1,superior,Passenger,must not contain special characters,,,,,,,,firstname lastname combination already in database,Please correct the following errors
8,varu#,Singh,Varun,Qwerty!1,varun@gmail.com,1234567890,100,1,superior,Passenger,must not contain special characters,,,,,,,,firstname lastname combination already in database,Please correct the following errors
9,varu_,Singh,Varun,Qwerty!1,varun@gmail.com,1234567890,100,1,superior,Passenger,must not contain special characters,,,,,,,,firstname lastname combination already in database,Please correct the following errors
10,varu.,Singh,Varun,Qwerty!1,varun@gmail.com,1234567890,100,1,superior,Passenger,must not contain special characters,,,,,,,,firstname lastname combination already in database,Please correct the following errors
11,1arun,Singh,Varun,Qwerty!1,varun@gmail.com,1234567890,100,1,superior,Passenger,username must start with a letter,,,,,,,,firstname lastname combination already in database,Please correct the following errors
12,varun,Singh,Varun,qwerty!1,varun@gmail.com,1234567890,100,1,superior,Passenger,Username already in database,,,must have upper and lower case letter number special character length greater than 6 and smaller than 46,,,,,firstname lastname combination already in database,Please correct the following errors
13,varun,Singh,Varun,QWERTY!1,varun@gmail.com,1234567890,100,1,superior,Passenger,Username already in database,,,must have upper and lower case letter number special character length greater than 6 and smaller than 46,,,,,firstname lastname combination already in database,Please correct the following errors
14,varun,Singh,Varun,Qwert!1,varun@gmail.com,1234567890,100,1,superior,Passenger,Username already in database,,,must have upper and lower case letter number special character length greater than 6 and smaller than 46,,,,,firstname lastname combination already in database,Please correct the following errors
15,varun,Singh,Varun,Qwe!1Qwe!1Qwe!1Qwe!1Qwe!1Qwe!,varun@gmail.com,1234567890,100,1,superior,Passenger,Username already in database,,,,,,,,firstname lastname combination already in database,Please correct the following errors
16,varun,Singh,Varun,Qwe!1Qwe!1Qwe!1Qwe!1Qwe!1Qwe!1,varun@gmail.com,1234567890,100,1,superior,Passenger,Username already in database,,,must have upper and lower case letter number special character length greater than 6 and smaller than 46,,,,,firstname lastname combination already in database,Please correct the following errors
17,varun,Singh,Varun,Qwerty!!,varun@gmail.com,1234567890,100,1,superior,Passenger,Username already in database,,,must have upper and lower case letter number special character length greater than 6 and smaller than 46,,,,,firstname lastname combination already in database,Please correct the following errors
18,varun,Singh,Varun,Qwerty11,varun@gmail.com,1234567890,100,1,superior,Passenger,Username already in database,,,must have upper and lower case letter number special character length greater than 6 and smaller than 46,,,,,firstname lastname combination already in database,Please correct the following errors
19,varun,Si,Varun,Qwerty!1,varun@gmail.com,1234567890,100,1,superior,Passenger,Username already in database,Last name must be 3 to 29 characters long,,,,,,,,Please correct the following errors
20,varun,Sin,Varun,Qwerty!1,varun@gmail.com,1234567890,100,1,superior,Passenger,Username already in database,,,,,,,,,Please correct the following errors
